pathway,status,n_genes,excluded_genes,description,SS,percent_SS,n_valid_snps,mean_percent_SS,null_mean,null_sd,fold_enrichment,p_value,n_samples,n_unique_null_sets,additive_sum,additive_sum_null_mean,additive_sum_null_sd,additive_sum_p_value,additive_mean,additive_mean_null_mean,additive_mean_null_sd,additive_mean_p_value,q_value_bh,additive_sum_q_value_bh,additive_mean_q_value_bh
PWY3O-3827,tested,3,[],glucose-6-phosphate biosynthesis,3.4516219376720355e-16,1.1062804880049595e-05,15,4.916802168910931e-08,6.7550492077365e-17,1.7511203463872007e-17,5.109691775033885,0.3333333333333333,2,2,0.00018979006817261204,0.0003399203157079827,5.460438915090706e-06,1.0,1.265267121150747e-05,2.266135438053218e-05,3.640292610060465e-07,1.0,1.0,1.0,1.0
PWY-5686-1,tested,6,[],UMP biosynthesis I,4.657273441140315e-15,0.00014927042498496252,56,4.7598987558980396e-08,2.5003427927145763e-15,6.261180725226695e-16,1.8626539747711948,0.3333333333333333,2,2,0.00030433974747625986,0.0011777031282712222,0.0003134779038411991,1.0,5.4346383477903545e-06,2.1030413004843253e-05,5.597819711449984e-06,1.0,1.0,1.0,1.0
PWY3O-69,tested,8,[],superpathway of heme and siroheme biosynthesis,1.3303497351993673e-15,4.263908333095853e-05,32,4.163972981538919e-08,8.808004980317443e-16,3.6696691294211777e-16,1.5103871287223332,0.3333333333333333,2,2,0.0008695903137960707,0.00036182061350386186,0.00010960756012141351,0.3333333333333333,2.717469730612721e-05,1.1306894171995683e-05,3.425236253794172e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-6336,tested,8,[],"superpathway of fatty acid biosynthesis, saturated",9.986852179109419e-15,0.00032008892925828713,92,3.7817690129759825e-08,5.540938022264522e-15,1.224162508558016e-15,1.802375723926235,0.3333333333333333,2,2,0.0026608889540894977,0.0011420423298363059,0.00025302382852967147,0.3333333333333333,2.892270602271193e-05,1.2413503585177239e-05,2.7502590057572983e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-10,tested,7,[],"fatty acid biosynthesis, initial steps",8.380464359037006e-15,0.00026860254014599873,90,3.316080742543194e-08,5.993872373666288e-15,5.39888636184524e-16,1.3981719724056962,0.3333333333333333,2,2,0.0025661454174306444,0.00044047503419172683,9.321446688301851e-05,0.3333333333333333,2.8512726860340492e-05,4.894167046574743e-06,1.0357162987002059e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-355,tested,5,[],stearate biosynthesis III (fungi),3.2020943429217135e-15,0.00010263043161426172,58,3.050845172837744e-08,1.5663323202110273e-15,3.7634663816265668e-16,2.0443262911731943,0.3333333333333333,2,2,0.001303435333016845,0.0004262110755112636,0.00023609112614541043,0.3333333333333333,2.247302298304905e-05,7.3484668191597174e-06,4.0705366576794895e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY-7219,tested,3,[],adenosine ribonucleotides de novo biosynthesis,1.9822447673124388e-16,6.3532992550357585e-06,16,2.4817575214983432e-08,9.903773586221052e-17,3.2133958403157846e-17,2.0015045275977448,0.3333333333333333,2,2,0.002751781386828293,0.0001223902876749279,1.7038871233262084e-05,0.3333333333333333,0.0001719863366767683,7.649392979682994e-06,1.0649294520788802e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY3O-4153,tested,3,[],phenylalanine biosynthesis,7.254254328686253e-16,2.3250634524196423e-05,34,2.0113005643768533e-08,4.848229316392933e-16,2.0883627754801317e-16,1.4962688138859312,0.3333333333333333,2,2,0.00015128991491376805,0.000561650972521771,0.00039987776679962443,1.0,4.449703379816707e-06,1.6519146250640324e-05,1.1761110788224248e-05,1.0,1.0,1.0,1.0
PWY3O-8514,tested,3,[],palmitate biosynthesis,1.3905333319259167e-15,4.456802977871016e-05,54,1.5283960829461646e-08,4.794617557136554e-16,1.9427947371896618e-16,2.9001965544805044,0.3333333333333333,2,2,0.0011825090081689683,0.00024836332918242387,0.00010590131614141554,0.3333333333333333,2.1898314966092005e-05,4.599320910785627e-06,1.9611354841002876e-06,0.3333333333333333,1.0,0.7647058823529411,0.7878787878787878
PWY-5694,tested,3,[],allantoin degradation to glyoxylate I,2.429188319376071e-16,7.78579951090418e-06,29,9.257787765641117e-09,9.089507910007937e-17,1.572633133607856e-17,2.6725190664077982,0.3333333333333333,2,2,0.0005871768048603372,0.0005446030741445447,3.0180912552017173e-05,0.3333333333333333,2.02474760296668e-05,2.0365027347595504e-05,2.626332120266969e-06,0.6666666666666666,1.0,0.7647058823529411,0.9285714285714286
