,pwy1,pwy2,vc,vc_mean
87,PWY-922,PWY3O-188,9.523868906252891e-06,1.3802708559786798e-09
88,PWY-922,PWY-5651,2.9007835071037372e-06,1.1511045663110069e-09
89,PWY-922,PWY3O-351,8.36568034506768e-06,2.3631865381547113e-09
90,PWY-922,PWY3O-1743,1.0522468741001886e-06,1.0316145824511653e-09
91,PWY-922,PWY3O-7,6.353586042689033e-06,1.4707375098817207e-09
92,PWY-922,PWY-5686-1,7.060895410278152e-06,2.101456967344688e-09
93,PWY-922,PWY3O-261,2.085404027200222e-06,9.146508891229044e-10
94,PWY-922,PWY3O-3827,8.718646684197815e-07,9.68738520466424e-10
95,PWY-922,PWY3O-355,1.422328032530088e-06,4.0871495187646207e-10
96,PWY-922,PWY3O-5962,1.1755547735669138e-05,1.9592579559448564e-09
97,PWY-922,PWY3O-4,3.6559213587215312e-06,1.2694171384449762e-09
98,PWY-922,PWY-5971-1,1.2829577168760571e-06,3.818326538321599e-10
99,PWY-922,PWY3O-4158,5.19372080367007e-06,1.2022501860347384e-09
100,PWY-922,PWY3O-450,1.533290522700829e-06,3.1943552556267276e-09
101,PWY-922,PWY3O-123,4.6056481793308805e-07,1.0965828998406859e-09
102,PWY-922,PWY3O-4107,9.088195872061776e-07,8.909995953001741e-10
103,PWY-922,PWY3O-2,7.706253486586399e-06,1.75941860424347e-09
104,PWY-922,PWY3O-4153,1.7336861017712683e-06,8.498461283192492e-10
105,PWY-922,PWY-6074-1,7.315849532233919e-07,1.1084620503384725e-09
106,PWY-922,PWY-6123-1,3.148834635652965e-06,1.3456558272021219e-09
107,PWY-922,PWY3O-10,1.0809194496196625e-05,2.0017026844808566e-09
108,PWY-922,PWY3O-13,1.193782020828396e-05,1.462968162779897e-09
109,PWY-922,PWY3O-8514,1.0369340219509313e-06,3.2004136479967014e-10
110,PWY-922,PWY3O-6336,1.105522090594985e-05,2.002757410498161e-09
111,PWY-922,PWY-5694,4.6598663506433356e-07,2.6780841095651354e-10
112,PWY-922,PWY-6126-1,3.627893744913463e-06,1.162786456703033e-09
113,PWY-922,PWY0-162,9.066088076664307e-06,1.7988269993381562e-09
114,PWY-922,PWY3O-4109,1.9981378054957745e-05,1.6010719595318708e-09
115,PWY-922,PWY3O-4112,1.8869514777482965e-05,1.6210923348353063e-09
116,PWY-922,PWY-7220-1,1.436414732568572e-06,6.650068206335981e-10
117,PWY-922,PWY3O-4105,1.9076931987947857e-05,1.6058023558878667e-09
118,PWY-922,PWY3O-69,1.425567636900255e-06,7.424831442188829e-10
119,PWY-922,PWY-7222-1,1.436414732568572e-06,6.650068206335981e-10
120,PWY-922,PWY-821-1,5.754802471310676e-06,1.809686311732917e-09
121,PWY-922,PWY-6075-1,7.502784450625432e-07,4.80947721193938e-10
122,PWY-922,PWY3O-4031,4.883777024126902e-06,8.568029866889302e-10
123,PWY-922,PWY-6482-1,1.953448314307929e-06,9.575727030921222e-10
124,PWY-922,PWY3O-954,7.720796006262652e-07,9.898456418285453e-10
125,PWY-922,PWY-5653,7.249639625856037e-07,7.107489829270624e-10
126,PWY-922,PWY-7219,2.1914806412417505e-06,2.2827923346268236e-09
127,PWY-922,PWY-7221,3.476866228886466e-06,1.379708820986693e-09
128,PWY-922,PWY3O-285,1.1347673048053156e-05,1.5010149534461847e-09
129,PWY-922,PWY0-662,8.981970078216225e-07,7.128547681123988e-10
130,PWY-922,PWY-5084,1.1319054959133622e-06,5.240303221821122e-10
131,PWY-922,PWY-7176,2.0051941595416094e-06,1.1935679521081008e-09
132,PWY-922,PWY-6125,4.514088022615859e-06,1.2134645222085643e-09
133,PWY-922,PWY3O-4108,1.3196176695895305e-05,1.1953058601354445e-09
134,PWY-922,PWY3O-981,4.350305701215595e-06,1.7263117861966648e-09
135,PWY-922,PWY3O-31704,2.303304682109611e-06,7.677682273698704e-10
136,PWY-922,PWY3O-2220,6.846520909844747e-07,1.267874242563842e-09
137,PWY-922,PWY-2201,8.64452251094663e-06,1.0516450743244077e-09
138,PWY-922,PWY3O-4120,1.1078346761884329e-06,5.595124627214307e-10
139,PWY-922,PWY-6614,1.1387787619522212e-06,1.581637169378085e-09
140,PWY-922,PWY3O-1,1.4274855272105747e-06,2.379142545350958e-09
141,PWY-922,PWY3O-214,1.4178370009995486e-05,1.1698325090755352e-09
142,PWY-922,PWY3O-50,8.422975434676486e-07,8.773932744454673e-10
143,PWY-922,PWY3O-20,3.4440089358908282e-06,9.728838801951492e-10
144,PWY-922,PWY3O-4115,1.4326475828022672e-05,1.1647541323595667e-09
145,PWY-922,PWY3O-440,1.1118506535241227e-06,1.3236317303858605e-09
146,PWY-922,PWY3O-259,7.025035788888172e-07,8.36313784391449e-10
147,PWY-922,PWY3O-697,6.072763138229276e-06,9.118262970314228e-10
148,PWY-922,PWY-5760-1,3.1737630017035684e-06,2.7840026330733054e-09
149,PWY-922,PWY-5041,8.490876000252827e-07,9.434306666947585e-10
150,PWY-922,PWY3O-4300,4.4405009781040004e-06,1.947588148291228e-09
151,PWY-922,PWY3O-1565,2.2035480521404283e-06,8.161289082001588e-10
152,PWY-922,PWY3O-15,1.2104302697711181e-06,2.2415375366131817e-09
153,PWY3O-242,PWY3O-94,1.4119419146729287e-05,7.515926299760082e-10
154,PWY3O-242,PWY3O-64,1.982390282219636e-06,5.609480142104233e-10
155,PWY3O-242,PWY3O-862,1.2683960305134264e-05,2.131041717932504e-09
156,PWY3O-242,PWY3O-48,3.80958728043624e-07,5.851900584387465e-10
157,PWY3O-242,PWY-781,2.403120223848535e-06,1.8457144576409637e-09
158,PWY3O-242,PWY3O-6499,1.850019879335268e-06,7.367661805397324e-10
159,PWY3O-242,PWY3O-6407,1.6581538829266988e-06,7.429004851822128e-10
160,PWY3O-242,PWY3O-45,2.4403367163222397e-06,9.371492766214438e-10
161,PWY3O-242,PWY3O-6635,2.0150704326818343e-06,7.222474669110517e-10
162,PWY3O-242,PWY3O-188,1.2864063087132614e-05,1.2028109478384865e-09
163,PWY3O-242,PWY-5651,3.9590940855037554e-06,1.013592955838135e-09
164,PWY3O-242,PWY3O-351,3.847199730588139e-06,7.011481192980023e-10
165,PWY3O-242,PWY3O-1743,1.8390660909226727e-06,1.1632296590276236e-09
166,PWY3O-242,PWY3O-7,1.3995737008209159e-05,2.090163830377712e-09
167,PWY3O-242,PWY-5686-1,5.199164034007944e-06,9.983033859462258e-10
168,PWY3O-242,PWY3O-261,4.882636253359833e-06,1.381617502365544e-09
169,PWY3O-242,PWY3O-3827,1.70583481604821e-06,1.2228206566653837e-09
170,PWY3O-242,PWY3O-355,4.317830927499063e-06,8.004877507413909e-10
171,PWY3O-242,PWY3O-5962,6.2067388189683994e-06,6.673912708568172e-10
172,PWY3O-242,PWY3O-4,3.494285923381712e-06,7.827701441267276e-10
173,PWY3O-242,PWY-5971-1,3.9860468988675524e-06,7.653699882618188e-10
174,PWY3O-242,PWY3O-4158,6.477692780323798e-06,9.673973686266124e-10
175,PWY3O-242,PWY3O-450,5.541788439108227e-07,7.448640375145466e-10
176,PWY3O-242,PWY3O-123,4.570160285778314e-07,7.020215492747026e-10
177,PWY3O-242,PWY3O-4107,9.502754873680947e-07,6.010597643061952e-10
178,PWY3O-242,PWY3O-2,5.413936256757807e-06,7.974571007155409e-10
179,PWY3O-242,PWY3O-4153,1.0635987920534568e-06,3.363690044444835e-10
180,PWY3O-242,PWY-6074-1,6.575710698637174e-07,6.427869695637511e-10
181,PWY3O-242,PWY-6123-1,4.26297212462602e-06,1.1753438446721863e-09
182,PWY3O-242,PWY3O-10,5.4635475683988924e-06,6.527535924013014e-10
183,PWY3O-242,PWY3O-13,9.801027878710655e-06,7.749073275387931e-10
184,PWY3O-242,PWY3O-8514,3.552563509279436e-06,7.074001412344557e-10
185,PWY3O-242,PWY3O-6336,5.897024713882381e-06,6.892268249044391e-10
186,PWY3O-242,PWY-5694,1.6800225019686732e-06,6.229226926098159e-10
187,PWY3O-242,PWY-6126-1,3.5177129894937395e-06,7.274013625917575e-10
188,PWY3O-242,PWY0-162,8.040780577528827e-06,1.0292857882141356e-09
189,PWY3O-242,PWY3O-4109,9.223927096390917e-06,4.768365951401425e-10
190,PWY3O-242,PWY3O-4112,6.346437357339562e-06,3.517590819942114e-10
191,PWY3O-242,PWY-7220-1,2.553456544641605e-06,7.626811662609335e-10
192,PWY3O-242,PWY3O-4105,8.511569234469474e-06,4.6223358501517733e-10
193,PWY3O-242,PWY3O-69,4.256144060475003e-06,1.4301559342993966e-09
194,PWY3O-242,PWY-7222-1,2.553456544641605e-06,7.626811662609335e-10
195,PWY3O-242,PWY-821-1,5.328332297149906e-06,1.0810168994014824e-09
196,PWY3O-242,PWY-6075-1,4.580826098800341e-06,1.8944690234906287e-09
197,PWY3O-242,PWY3O-4031,9.440576894253835e-06,1.0685429421905868e-09
198,PWY3O-242,PWY-6482-1,2.2253959027474478e-06,7.037937706348665e-10
199,PWY3O-242,PWY3O-954,7.686864727271173e-07,6.358035341001797e-10
200,PWY3O-242,PWY-5653,1.579996018086481e-06,9.9936497032668e-10
201,PWY3O-242,PWY-7219,9.64252440480689e-07,6.480191132262695e-10
202,PWY3O-242,PWY-7221,2.355893888692149e-06,6.031474369411544e-10
203,PWY3O-242,PWY3O-285,1.0515091738609315e-05,8.973452584578696e-10
204,PWY3O-242,PWY0-662,1.3615119466186836e-06,6.971387335477131e-10
205,PWY3O-242,PWY-5084,1.3978233154042852e-06,4.175099508376001e-10
206,PWY3O-242,PWY-7176,2.841615457589643e-06,1.0912501757256694e-09
207,PWY3O-242,PWY-6125,4.371856006662998e-06,7.582129737535551e-10
208,PWY3O-242,PWY3O-4108,6.813323720371153e-06,3.981605727192118e-10
209,PWY3O-242,PWY3O-981,4.56509529886529e-06,1.1687391958180465e-09
210,PWY3O-242,PWY3O-31704,5.742382675724788e-06,1.2349210055322125e-09
211,PWY3O-242,PWY3O-2220,5.592900847075781e-07,6.682079865084565e-10
212,PWY3O-242,PWY-2201,1.1616765723264093e-05,9.117624772988064e-10
213,PWY3O-242,PWY3O-4120,8.031233884519782e-07,2.6168895029389973e-10
214,PWY3O-242,PWY-6614,1.5639959072040403e-06,1.4014300243763803e-09
215,PWY3O-242,PWY3O-1,6.904161461329113e-07,7.423829528310875e-10
216,PWY3O-242,PWY3O-214,7.97595754108516e-06,4.245692292710082e-10
217,PWY3O-242,PWY3O-50,1.716076776533329e-06,1.1532774035842265e-09
218,PWY3O-242,PWY3O-20,6.825362354091985e-06,1.2439151365212293e-09
219,PWY3O-242,PWY3O-4115,8.08548076513938e-06,4.241007482370512e-10
220,PWY3O-242,PWY3O-440,2.877467477460946e-06,2.2100364650237684e-09
221,PWY3O-242,PWY3O-259,1.0965732298815533e-06,8.4222214276617e-10
222,PWY3O-242,PWY3O-697,8.809731745995565e-06,8.534080931895346e-10
223,PWY3O-242,PWY-5760-1,1.1087591430267393e-06,6.274811222562191e-10
224,PWY3O-242,PWY-5041,1.294333661057999e-06,9.278377498623648e-10
225,PWY3O-242,PWY3O-4300,3.1163495455896575e-06,8.818193394424611e-10
226,PWY3O-242,PWY3O-1565,4.431663669677144e-06,1.0589399449646702e-09
227,PWY3O-242,PWY3O-15,9.666478011828658e-07,1.154895819812265e-09
228,PWY3O-94,PWY3O-64,7.416179533897545e-06,9.661515807578875e-10
229,PWY3O-94,PWY3O-862,3.6935596811852106e-05,2.8570232682435105e-09
230,PWY3O-94,PWY3O-48,9.50816891961676e-07,6.724306166631372e-10
231,PWY3O-94,PWY-781,4.022361253964062e-06,1.4223342482192583e-09
232,PWY3O-94,PWY3O-6499,4.523029851924515e-06,8.29305070026497e-10
233,PWY3O-94,PWY3O-6407,4.608153015476137e-06,9.505266121031636e-10
234,PWY3O-94,PWY3O-45,5.184086421713438e-06,9.165640773892217e-10
235,PWY3O-94,PWY3O-6635,5.374860107036499e-06,8.869406117221946e-10
236,PWY3O-94,PWY3O-188,2.8637084028774123e-05,1.2327629801452486e-09
237,PWY3O-94,PWY-5651,8.685923639451657e-06,1.0238005232734154e-09
238,PWY3O-94,PWY3O-351,1.017796981497016e-05,8.53999816661366e-10
239,PWY3O-94,PWY3O-1743,3.720546484196803e-06,1.0834439383217247e-09
240,PWY3O-94,PWY3O-7,2.94132077730776e-05,2.0223602704261277e-09
241,PWY3O-94,PWY-5686-1,1.4013879661427085e-05,1.2388507480045158e-09
242,PWY3O-94,PWY3O-261,8.620471305854714e-06,1.1230421190535065e-09
243,PWY3O-94,PWY3O-3827,3.3683966296173474e-06,1.1116820559793225e-09
244,PWY3O-94,PWY3O-355,7.171255344352389e-06,6.120907600164211e-10
245,PWY3O-94,PWY3O-5962,2.6555644872270633e-05,1.3146358847658728e-09
246,PWY3O-94,PWY3O-4,1.2799386108440658e-05,1.320068699302873e-09
247,PWY3O-94,PWY-5971-1,6.748873701308246e-06,5.966118901439398e-10
248,PWY3O-94,PWY3O-4158,1.3797738079384242e-05,9.48689361893856e-10
249,PWY3O-94,PWY3O-450,2.4438811958878897e-06,1.5123027202276547e-09
250,PWY3O-94,PWY3O-123,1.207758335956387e-06,8.541430947357759e-10
251,PWY3O-94,PWY3O-4107,3.3248412850160107e-06,9.682123718742024e-10
252,PWY3O-94,PWY3O-2,1.5754856569798793e-05,1.068415608965061e-09
253,PWY3O-94,PWY3O-4153,4.092122291236436e-06,5.958244454333774e-10
254,PWY3O-94,PWY-6074-1,2.1748049453869504e-06,9.787601014342713e-10
255,PWY3O-94,PWY-6123-1,8.036145822998742e-06,1.020074361893722e-09
256,PWY3O-94,PWY3O-10,2.1436224026971137e-05,1.179110232506663e-09
257,PWY3O-94,PWY3O-13,1.873877082811252e-05,6.821043545469031e-10
258,PWY3O-94,PWY3O-8514,6.540130568799955e-06,5.995719259992624e-10
259,PWY3O-94,PWY3O-6336,2.1644972589135627e-05,1.1647101048824592e-09
260,PWY3O-94,PWY-5694,3.339028162211336e-06,5.69994565075339e-10
261,PWY3O-94,PWY-6126-1,1.1344780127231192e-05,1.0800438049534647e-09
262,PWY3O-94,PWY0-162,1.9230565195983976e-05,1.1333430690702483e-09
263,PWY3O-94,PWY3O-4109,3.8577933156086e-05,9.181724380256569e-10
264,PWY3O-94,PWY3O-4112,3.466454537348617e-05,8.84570413735995e-10
265,PWY3O-94,PWY-7220-1,7.652750740348652e-06,1.0523584626442038e-09
266,PWY3O-94,PWY3O-4105,3.592778095015649e-05,8.982843521891311e-10
267,PWY3O-94,PWY3O-69,9.711321270880014e-06,1.5023702461138634e-09
268,PWY3O-94,PWY-7222-1,7.652750740348652e-06,1.0523584626442038e-09
269,PWY3O-94,PWY-821-1,9.85631698183734e-06,9.206348759422138e-10
270,PWY3O-94,PWY-6075-1,5.8954425120664645e-06,1.1225138065625406e-09
271,PWY3O-94,PWY3O-4031,1.88411654565452e-05,9.818220665213758e-10
