,MKT1,MIP1,HAL9,LMO1,VPS70,BUL2,VPS36,RSF1,FLO5
YFH1,2.5774506386583552e-09,3.5015169564968826e-10,2.3152526794333974e-10,4.392459524648315e-11,4.112523409949664e-09,6.6786927536556e-10,1.6559231850325454e-10,1.8503863349977233e-11,6.428931537366999e-12
HEM25,2.390817076790594e-09,4.5542858587110866e-10,1.7575392076083256e-10,2.0902059819128207e-10,4.156807982829822e-09,8.867131119881364e-10,2.045697868743742e-10,3.2284202941411874e-12,5.345350130408884e-12
CYK3,1.944707085344253e-09,3.897408430456526e-10,1.0481024224508275e-10,3.521399991878679e-10,4.0971670979272605e-09,1.503753747264483e-09,1.536026619780905e-10,3.827780361586101e-11,2.072479787125285e-11
NUP84,1.7407766749527114e-09,3.576321302658714e-10,3.13646765387314e-10,1.957807297448132e-10,3.826180451172732e-09,1.2676284155079383e-09,5.7885039782808724e-11,2.4506712153287337e-10,3.597078879532214e-12
IWR1,1.1091395201367982e-09,3.838317894132557e-10,2.557304850690916e-10,2.810541873111574e-10,3.502010039170268e-09,7.07712323490856e-10,1.0863470800886702e-11,3.2448367771353884e-10,2.2106093592628718e-10
YDL114W,1.073548926697619e-09,6.088511041581348e-10,2.2479912396732696e-10,2.333775513544941e-10,3.6585484009144877e-09,7.372498148015164e-10,2.2651930271853668e-11,2.7194445941833865e-10,3.100730611115995e-10
ATG20,2.1391834427006856e-09,4.210396775584557e-11,4.4522029114731295e-11,2.5136939789150033e-10,2.4044499560777603e-09,7.004275347593705e-10,2.0739216971061362e-10,4.111184731042146e-10,6.425189051942112e-10
TRM3,3.611910078132649e-09,6.92326354587805e-11,3.407204970929766e-10,1.526315948326754e-10,3.2570400304370703e-09,4.1804145813589335e-10,4.373089641518719e-11,1.7021800987060546e-10,7.928503965121101e-10
RRP42,4.888675795689584e-09,1.3882394680335477e-10,1.2883668848788028e-09,1.0183092195045957e-10,4.993050755478854e-09,2.7420466070012145e-10,4.8884371877512226e-11,2.9041566046618195e-10,8.993382409578527e-10
TMA17,4.022920561576379e-09,9.824856083701825e-11,1.667963290288729e-09,1.1452359169561726e-10,4.922797437861755e-09,3.2419678259831793e-10,3.055266945746141e-11,2.363266144907706e-10,7.471970472998275e-10
YDL109C,3.195052026156067e-09,1.9055273512962407e-10,1.6952646908644635e-09,9.815172893822288e-11,3.605133350088204e-09,1.4469727405209187e-10,9.158834479638011e-11,1.9755688415598693e-10,1.0619096504014856e-09
KIN28,3.915519505214162e-09,4.5175507147530977e-10,1.1279532389501942e-09,2.6149093675018042e-11,2.535945907175648e-09,1.2089311768872375e-10,2.6013567680027883e-11,2.451953291130874e-10,1.1238638039171378e-09
MSS2,3.7117610516101992e-09,4.732537224702279e-10,7.985641309559829e-10,4.119239074561502e-11,1.6943187961628628e-09,1.276851957563779e-10,1.5512031318844227e-11,4.140103571305e-10,1.319746516462273e-09
PHO2,3.5050069195267638e-09,1.066049820063402e-09,2.746515746039983e-10,4.924662932166517e-11,1.9547038035298442e-09,1.255367325661959e-10,3.89244675828111e-11,2.3801246242527286e-10,1.031626061104514e-09
NSE4,2.9049582095036337e-09,1.3023903012734476e-09,6.50798619185241e-11,3.395301607647202e-11,2.1236172499573883e-09,1.4263491592411116e-10,8.272896018631985e-11,1.8985987995876508e-10,8.364791889292923e-10
QRI7,2.7033513749989637e-09,2.066071203039644e-09,6.17097189253766e-11,3.188490042731196e-11,2.204195940210289e-09,3.116098544649556e-10,1.886337724470557e-11,1.2746652140012637e-10,1.0373126980515095e-09
QRI1,2.237123871053493e-09,2.742302098450135e-09,6.237182431098294e-11,8.430616086822177e-11,1.8350799229650956e-09,4.360580693994546e-10,1.2573089057048435e-11,3.4326588716561216e-10,1.1280436847573674e-09
POL3,1.8226943782484094e-09,2.914357575571137e-09,5.409624859366132e-11,3.37535894272483e-11,1.8882178855886725e-09,4.993340498739624e-10,5.143213806004455e-11,2.729975725977211e-10,1.1323229098233624e-09
DUN1,2.4135647043397526e-09,3.023126798178117e-09,3.6406390281864014e-11,3.913309577940194e-11,1.967630408675419e-09,4.081966854242398e-10,1.2444109686603478e-10,6.3652891400461e-11,1.2151517545751174e-09
GET3,2.5727853232235257e-09,3.5922811437930206e-09,6.022277354914866e-11,2.7656884117739298e-11,1.5918481751669872e-09,2.358927960465408e-10,8.53711454237756e-11,1.443992608379652e-10,1.315317334513111e-09
BUG1,4.196972743471377e-09,4.507210243867844e-09,4.749461177929159e-10,6.636706846330209e-11,1.991054119594863e-09,1.455542763348332e-10,3.571386663247744e-11,5.546978584444508e-10,1.5610161579380376e-09
SNU23,4.36130877224202e-09,5.667651481454459e-09,6.31554264641713e-10,1.3474938138411005e-10,2.19939323962695e-09,1.1383407366929302e-10,3.730411885298877e-10,1.1135641596978003e-09,4.987931925889179e-10
RPN6,5.006798920695349e-09,6.556027467735573e-09,7.199657068040588e-10,1.2437944724293016e-10,2.8471575868527955e-09,1.1847810586517586e-10,4.826673257786431e-10,1.4023998644441253e-09,3.299835774367736e-10
PMT1,5.209870865173798e-09,9.094962927376857e-09,3.599088739453799e-10,3.553176774504207e-11,2.9982953394443214e-09,1.2997510533965032e-10,7.657049636707577e-10,1.0744663931577568e-09,3.363864415598923e-10
PMT5,4.478654271030888e-09,8.67824373980979e-09,6.673420268915826e-11,7.396228457956973e-11,3.80493087263834e-09,1.3919682755991192e-10,1.0397297670093408e-09,1.5578297530214853e-09,4.124896439322282e-10
SRP14,3.914557296609391e-09,7.84170097259597e-09,3.8446834391636876e-11,1.6701187371876923e-10,3.7112913769226394e-09,1.650151622316081e-10,7.780519170252227e-10,2.0689227724241533e-09,2.7837345363565975e-10
UBX3,3.217095900077569e-09,7.632436690050875e-09,5.934381602377584e-11,1.4723654562368843e-10,5.342933276124553e-09,1.3080412947393655e-10,3.553340085857067e-10,1.9996110901051396e-09,3.26474489791261e-10
RAM1,2.679075880565947e-09,7.182198932767985e-09,4.782045174997591e-11,1.166743108600313e-10,4.744408840744108e-09,1.280984097177823e-10,1.9276247188450666e-10,1.9949454300143993e-09,4.1296833637968075e-10
NUR1,2.4571349187949932e-09,8.439348562939687e-09,1.230599967998641e-10,1.5109706299441769e-10,5.199721569205145e-09,1.769804450049648e-10,1.129855991585202e-10,2.1990351509727867e-09,3.4602154373375535e-10
ASM4,1.7675259504426872e-09,8.5237910285927e-09,2.478370311480873e-10,1.9431803362488737e-10,4.053397658965585e-09,3.9731014333792715e-10,4.4652298643832014e-11,1.874746990371408e-09,3.2717591317539865e-10
LUC7,2.0239190014752368e-09,8.11520822448956e-09,1.5949728280573522e-10,2.3523564496835367e-10,4.007035113553938e-09,7.117708543858676e-10,2.1669883695203837e-11,1.2884205880697156e-09,3.6800295057903023e-10
YDL086W,1.9563766345491376e-09,8.02993101635336e-09,1.2261236293179436e-10,2.734680279161904e-10,3.757895757620039e-09,7.038213392109177e-10,2.282804186750238e-11,8.476931055448309e-10,3.0990686878881695e-10
YDL085C-A,1.976306570909295e-09,9.639346213726643e-09,2.949969636708428e-10,1.6400800597918977e-10,3.237213341878051e-09,7.981057889576818e-10,1.644899663980204e-11,3.0681381870211687e-10,1.2774170926103826e-10
NDE2,1.1854699875226797e-09,7.140348766847528e-09,4.4306312714542396e-10,3.585167565725879e-10,2.9080726027968836e-09,1.2841763768153973e-09,6.30230640555252e-11,4.6428551370313686e-10,4.1771149765440045e-10
