gene1	gene2	mean_VC
STR3	RPS31	1.30981397497477e-10
HAL9	MET16	4.318535622434648e-09
UGA4	ITR1	4.001892409651249e-10
SEC6	YLR460C	1.9294117928834195e-10
UTP11	TRM10	1.7318051048436315e-09
CYC3	VPR1	1.72618951120095e-10
FAA3	GZF3	1.0603579223794796e-09
ELC1	MCM4	9.658543131350442e-10
YEL008W	YNL050C	1.0040387856976818e-10
ATG16	YOR186W	1.9187359493294995e-10
LPX2	NOP15	7.3397670935498e-10
SNU114	VMA4	1.5354220668010767e-09
GAA1	DGA1	2.6748360585193836e-09
RSM7	YMR242W-A	7.191998169428972e-09
ARO8	YHL037C	5.966916436192355e-11
PCD1	NAN1	9.055332453735242e-09
BRF1	RPN13	4.139703655295178e-10
ERV15	YJR079W	6.235981352285984e-10
DIP2	ELA1	5.6732902794035275e-09
MIG3	PEX13	3.474519576725094e-09
ICS2	SNF12	3.068903973318585e-11
ARH1	ARG8	6.359453488826325e-10
STE3	NHP6A	1.0669419581015114e-09
STN1	ATP25	1.1713398905328463e-10
SED1	GYP1	1.874817623371066e-09
POL12	COX7	1.2392979871343258e-08
RPL12A	INA1	3.893278013420662e-09
FAP7	ACA1	6.92410484777047e-10
FLO5	TOF1	1.1149978575887727e-08
HAP4	STT4	1.834825953546217e-09
CYK3	CBT1	1.7852632692206825e-10
HOG1	SFL1	2.3132640176778725e-09
ARP3	YNL067W-B	6.882448850637949e-09
YSW1	MGM1	4.973149387032026e-12
FMP45	GND2	7.989907139694249e-11
TDH3	GTT1	1.0210176559025731e-10
YDL009C	SUB1	1.729679974171274e-09
OCA6	RRP8	1.6072722194403384e-09
RAD4	POM152	4.4354938234933554e-10
RPL19A	MEF2	5.942838906812199e-12
OM14	TTI2	1.0317227635995332e-09
RNQ1	FMP33	5.183695599585064e-11
YKR073C	PET309	3.7676078581968694e-11
UTR2	YMR008C-A	4.0608078199669056e-10
YHR007C-A	RPO31	5.206044767945034e-10
CNA1	TCO89	8.134137548876858e-09
SWP82	PHO4	8.473115715661614e-11
RPP1B	SMC1	1.8180006949809083e-09
OPI1	PUT1	1.3629933846809733e-09
PET494	IRC15	4.298339960561813e-09
CIN8	PHO81	6.200834226218721e-11
TRA1	ADH2	2.013751264177322e-11
TOM71	YKU70	4.2988721888243257e-11
SEA4	PHA2	9.617724648081572e-10
IMA5	CAF20	2.594517067545843e-10
DLD1	GET2	3.3825942865890886e-11
PRI2	MED11	1.6581311038221833e-09
SET4	YME1	6.355968270410283e-10
VMA22	AIM32	7.446355248015344e-10
APQ13	YMR254C	2.521438353047766e-10
SPC105	TFS1	4.81107837317499e-10
ENT5	TOM70	1.4587954869636886e-10
ZUO1	ACE2	7.620692856766132e-10
TRZ1	KAP120	1.443920147067936e-10
LCB3	SEC62	6.848913182429962e-10
FUR4	IRC9	1.1338331087018105e-08
AVT7	COQ11	3.190517527322596e-11
UIP3	TCO89	1.1055737618869825e-10
SHM1	RSM19	4.0921228288996573e-10
RTA1	DAL4	2.4896625382096577e-11
TPC1	IRS4	3.6091339656680754e-11
CDC55	RRP3	6.813017419153193e-10
EMC10	LCD1	4.609164186030258e-11
ECM31	CCT8	7.933209465162691e-11
PTC4	YMR105W-A	1.0888052058136735e-09
YLL032C	DIG1	1.1287032239553032e-09
YDL012C	LRS4	9.963283911028078e-10
TIM17	AAD10	5.817453749202404e-10
MSH4	TUB3	3.570824003004522e-09
ECM11	KXD1	1.4145011311580575e-09
POM33	THI72	2.875124154195933e-10
NOP8	AZF1	7.328387364325373e-11
DDI1	MOB1	6.880540929779703e-10
SPL2	FYV6	8.19090099658007e-13
TIM17	SLD2	7.264178231163299e-10
AMD2	CUS2	2.362591967015197e-11
DHH1	HSP31	9.455828658855254e-12
RBG2	ACO1	1.0700174155870417e-10
SSA2	DIM1	9.290462990701656e-11
GRX6	RSO55	1.3683898488097852e-10
COR1	SKN7	2.5181248988726052e-09
YDR341C	GET4	9.746266014289371e-11
THI73	TAF9	1.089097682808119e-10
YHR180W	AEP3	2.2152410902404946e-10
PAU23	YLR122C	8.289222811001023e-09
ARG82	SOL4	3.48057162342379e-09
YBR053C	CWC25	1.8735684439025228e-10
DOA1	CET1	2.4600036306594698e-09
BUD31	ASN2	7.856871589568438e-10
SMC3	PFA3	2.782808764747543e-09
YAP6	AFG2	1.4078718086659502e-09
TDP1	API2	7.988430159469199e-10
AMN1	YJL052C-A	5.152178849113317e-10
MET32	YNL011C	3.4609270192337333e-09
YOS9	GND2	1.4145663608581303e-10
VPS72	MPC54	1.0947110836880337e-09
YLR225C	MRE11	3.5045655327150712e-09
RAD5	MRM1	9.380001503304894e-10
GIM5	SDD4	1.5291521424385368e-09
SPO73	GAB1	1.2532152705876678e-10
IPT1	POR1	5.119971753531698e-09
TED1	VPS33	4.761872885144213e-10
MUD1	SED5	7.1910955244354814e-09
YGR079W	STO1	1.127056378132414e-09
TAF1	SIP5	2.354682773712567e-09
TPS2	YCT1	7.860933761614874e-10
COX17	OSW1	8.734521959648825e-10
SYP1	YKR075C	1.114744080862626e-09
SER33	IMH1	1.048455653423665e-10
PEP7	YGL193C	8.080182107881601e-10
NTH1	TAF9	3.92637316171705e-10
RPS25A	MEP3	2.340591620736547e-10
GRX7	DPB3	4.982584456870567e-10
NEM1	PIR3	3.667146123227501e-10
VPS74	PRM3	9.190780105785636e-10
DTD1	YGL034C	5.874953265856496e-10
BIL2	CIR2	3.301697957829544e-10
COX18	MRA1	1.1674112936777036e-11
PEX21	CBT1	5.312880809546543e-11
TIM9	CLB5	1.809197854771098e-09
YAL037W	YIL059C	1.0442197167127879e-10
RAD30	PAU2	4.2339326965065295e-10
RRP3	MRM1	9.919008219665626e-11
ATC1	IES1	6.639148790270821e-12
UBP14	SSN2	9.350061686185782e-09
URA7	DRE2	5.16622050048721e-10
DFP4	ARP7	4.22792656041101e-09
SHE1	STR2	5.898695775415503e-10
YFL015C	SOA1	1.8494544630567354e-10
PCA1	RPP2B	2.859054667032808e-10
BET5	NRT1	1.3050334207430432e-09
SED4	CRF1	3.0147491185220263e-09
DDR48	YNL195C	6.3186669565261696e-09
AYT1	LDS2	5.931934192629167e-12
CSN9	MRPL51	1.706015276292473e-11
YMR209C	MDH2	7.231561044702199e-10
DUR12	VSB1	4.989504689628348e-11
PRY3	STI1	2.756911166158143e-09
VID24	URA10	4.1219492429765476e-10
BPH1	YNL162W-A	1.2806960020984212e-11
FKS1	RPS18B	6.849834739311901e-12
SEC7	LAP2	3.1010076824856904e-11
YDL177C	ECM16	1.06133647583844e-09
ATG20	TDA4	1.7523909605391101e-09
CDC39	YEL009C-A	5.634842442324681e-09
BCS1	SDS3	5.092504846943881e-09
RPS10A	YPR003C	2.489417123533005e-09
PMT4	YPS3	1.225977035211397e-09
YOR111W	KAR3	5.821323174602832e-09
SMT1	MRE11	1.5808810641664225e-09
TAF4	MDY2	1.2177714929917051e-09
SNF11	PRP42	1.1666494574393203e-09
MCO32	FRT1	1.6534160342135401e-09
MVP1	YMR206W	1.8321147944592697e-09
ELP2	FPR4	8.67527806255635e-11
YKL106C-A	UBP8	1.3443792953523274e-10
CDC3	NDI1	1.4376850001646247e-11
